ID,Difficulty,Level,FilePath
752,1,4.0,./serialized_data/752_1.json
752,2,7.0,./serialized_data/752_2.json
752,3,10.3,./serialized_data/752_3.json
752,4,12.5,./serialized_data/752_4.json
675,1,6.0,./serialized_data/675_1.json
675,2,8.0,./serialized_data/675_2.json
675,3,11.7,./serialized_data/675_3.json
675,4,12.9,./serialized_data/675_4.json
11029,1,6.0,./serialized_data/11029_1.json
11029,2,8.0,./serialized_data/11029_2.json
11029,3,12.5,./serialized_data/11029_3.json
11029,4,14.6,./serialized_data/11029_4.json
11172,1,3.0,./serialized_data/11172_1.json
11172,2,6.5,./serialized_data/11172_2.json
11172,3,10.2,./serialized_data/11172_3.json
11172,4,13.2,./serialized_data/11172_4.json
270,1,4.0,./serialized_data/270_1.json
270,2,8.6,./serialized_data/270_2.json
270,3,10.7,./serialized_data/270_3.json
270,4,14.0,./serialized_data/270_4.json
331,1,4.0,./serialized_data/331_1.json
331,2,7.5,./serialized_data/331_2.json
331,3,9.8,./serialized_data/331_3.json
331,4,12.4,./serialized_data/331_4.json
11609,1,2.0,./serialized_data/11609_1.json
11609,2,6.5,./serialized_data/11609_2.json
11609,3,9.7,./serialized_data/11609_3.json
11609,4,13.2,./serialized_data/11609_4.json
696,1,5.0,./serialized_data/696_1.json
696,2,7.6,./serialized_data/696_2.json
696,3,11.2,./serialized_data/696_3.json
696,4,13.4,./serialized_data/696_4.json
315,1,3.0,./serialized_data/315_1.json
315,2,7.3,./serialized_data/315_2.json
315,3,9.9,./serialized_data/315_3.json
315,4,13.2,./serialized_data/315_4.json
11315,1,4.0,./serialized_data/11315_1.json
11315,2,8.0,./serialized_data/11315_2.json
11315,3,12.6,./serialized_data/11315_3.json
11315,4,14.5,./serialized_data/11315_4.json
11264,1,1.0,./serialized_data/11264_1.json
11264,2,6.5,./serialized_data/11264_2.json
11264,3,8.7,./serialized_data/11264_3.json
11264,4,12.5,./serialized_data/11264_4.json
531,1,7.7,./serialized_data/531_1.json
531,2,9.3,./serialized_data/531_2.json
531,3,12.4,./serialized_data/531_3.json
531,4,14.6,./serialized_data/531_4.json
11729,1,3.0,./serialized_data/11729_1.json
11729,2,7.5,./serialized_data/11729_2.json
11729,3,10.7,./serialized_data/11729_3.json
11729,4,12.9,./serialized_data/11729_4.json
657,1,4.0,./serialized_data/657_1.json
657,2,8.0,./serialized_data/657_2.json
657,3,10.6,./serialized_data/657_3.json
657,4,13.7,./serialized_data/657_4.json
234,1,4.0,./serialized_data/234_1.json
234,2,7.8,./serialized_data/234_2.json
234,3,11.9,./serialized_data/234_3.json
234,4,13.2,./serialized_data/234_4.json
818,1,6.0,./serialized_data/818_1.json
818,2,8.6,./serialized_data/818_2.json
818,3,11.5,./serialized_data/818_3.json
818,4,12.5,./serialized_data/818_4.json
818,5,13.4,./serialized_data/818_5.json
11375,1,3.0,./serialized_data/11375_1.json
11375,2,7.8,./serialized_data/11375_2.json
11375,3,10.7,./serialized_data/11375_3.json
